	sample	lambda
270	('EP107715', 7, 'EP107715_K70_BCKD.otu_table.biom')	0.0
271	('EP111886', 2, 'EP111886_K20_MCKD.otu_table.biom')	0.0
272	('EP111886', 3, 'EP111886_K30_MCKD.otu_table.biom')	0.0
273	('EP111886', 4, 'EP111886_K40_MCKD.otu_table.biom')	0.0
274	('EP111886', 5, 'EP111886_K50_MCKD.otu_table.biom')	0.0
275	('EP111886', 6, 'EP111886_K60_BCKD.otu_table.biom')	0.0
276	('EP111886', 9, 'EP111886_K90_BCKD.otu_table.biom')	0.0
277	('EP113416', 1, 'EP113416_K10_MCKD.otu_table.biom')	0.0
278	('EP113416', 2, 'EP113416_K20_MCKD.otu_table.biom')	0.0
279	('EP113416', 3, 'EP113416_K30_MCKD.otu_table.biom')	0.0
280	('EP113416', 4, 'EP113416_K40_MCKD.otu_table.biom')	0.0
281	('EP113416', 6, 'EP113416_K60_BCKD.otu_table.biom')	0.0
282	('EP113600', 2, 'EP113600_K20_MCKD.otu_table.biom')	0.0
283	('EP113600', 3, 'EP113600_K30_MCKD.otu_table.biom')	0.3
284	('EP113600', 4, 'EP113600_K40_MCKD.otu_table.biom')	0.0
285	('EP113600', 5, 'EP113600_K50_BCKD.otu_table.biom')	0.0
286	('EP113600', 7, 'EP113600_K70_MCKD.otu_table.biom')	0.98
287	('EP113600', 8, 'EP113600_K80_BCKD.otu_table.biom')	1.0
288	('EP113883', 2, 'EP113883_K20_MCKD.otu_table.biom')	0.0
289	('EP113883', 3, 'EP113883_K30_MCKD.otu_table.biom')	0.0
290	('EP113883', 5, 'EP113883_K50_BCKD.otu_table.biom')	0.89
291	('EP113883', 7, 'EP113883_K70_BCKD.otu_table.biom')	0.93
292	('EP113883', 9, 'EP113883_K90_MCKD.otu_table.biom')	1.0
293	('EP117219', 1, 'EP117219_K10_MCKD.otu_table.biom')	0.0
294	('EP117219', 3, 'EP117219_K30_MCKD.otu_table.biom')	0.0
295	('EP117219', 4, 'EP117219_K40_MCKD.otu_table.biom')	0.0
296	('EP117219', 7, 'EP117219_K70_BCKD.otu_table.biom')	0.0
297	('EP117219', 9, 'EP117219_K90_MCKD.otu_table.biom')	0.0
298	('EP117702', 1, 'EP117702_K10_MCKD.otu_table.biom')	0.0
299	('EP117702', 2, 'EP117702_K20_MCKD.otu_table.biom')	0.0
300	('EP117702', 3, 'EP117702_K30_MCKD.otu_table.biom')	0.0
301	('EP117702', 4, 'EP117702_K40_MCKD.otu_table.biom')	0.12
302	('EP117702', 8, 'EP117702_K80_BCKD.otu_table.biom')	0.0
303	('EP117702', 9, 'EP117702_K90_BCKD.otu_table.biom')	0.0
304	('EP117915', 2, 'EP117915_K20_BCKD.otu_table.biom')	0.2
305	('EP117915', 4, 'EP117915_K40_MCKD.otu_table.biom')	0.1
306	('EP117915', 5, 'EP117915_K50_BCKD.otu_table.biom')	0.0
307	('EP117915', 7, 'EP117915_K70_MCKD.otu_table.biom')	0.0
308	('EP119655', 2, 'EP119655_K20_MCKD.otu_table.biom')	0.94
309	('EP120862', 1, 'EP120862_K10_MCKD.otu_table.biom')	0.0
310	('EP120862', 17, 'EP120862_K170_BCKD.otu_table.biom')	0.0
311	('EP120862', 18, 'EP120862_K180_BCKD.otu_table.biom')	0.0
