	sample	lambda
292	('EP837596', 9, 'EP837596_K90_BS1D.otu_table.biom')	0.0
293	('EP840663', 6, 'EP840663_K60_BS1D.otu_table.biom')	0.0
294	('EP841667', 9, 'EP841667_K90_BS1D.otu_table.biom')	1.0
295	('EP841683', 11, 'EP841683_K110_BS1D.otu_table.biom')	0.0
296	('EP843963', 7, 'EP843963_K70_BS1D.otu_table.biom')	0.0
297	('EP845775', 7, 'EP845775_K70_BS1D.otu_table.biom')	0.0
298	('EP845775', 8, 'EP845775_K80_BS1D.otu_table.biom')	0.0
299	('EP850673', 7, 'EP850673_K70_BS1D.otu_table.biom')	1.0
300	('EP860829', 9, 'EP860829_K90_BS1D.otu_table.biom')	0.0
301	('EP861388', 8, 'EP861388_K80_BS1D.otu_table.biom')	0.0
302	('EP869641', 12, 'EP869641_K120_BS1D.otu_table.biom')	0.0
303	('EP873739', 7, 'EP873739_K70_BS1D.otu_table.biom')	0.0
304	('EP879870', 7, 'EP879870_K70_BS1D.otu_table.biom')	0.0
305	('EP888674', 7, 'EP888674_K70_BS1D.otu_table.biom')	0.0
306	('EP891353', 6, 'EP891353_K60_BS1D.otu_table.biom')	0.0
307	('EP891541', 9, 'EP891541_K90_BS1D.otu_table.biom')	1.0
308	('EP892824', 7, 'EP892824_K70_BS1D.otu_table.biom')	0.0
309	('EP893965', 7, 'EP893965_K70_BS1D.otu_table.biom')	0.0
310	('EP897729', 13, 'EP897729_K130_BS1D.otu_table.biom')	0.0
311	('EP899509', 7, 'EP899509_K70_BS1D.otu_table.biom')	0.0
312	('EP908409', 8, 'EP908409_K80_BS1D.otu_table.biom')	1.0
313	('EP915249', 6, 'EP915249_K60_BS1D.otu_table.biom')	0.0
314	('EP919343', 5, 'EP919343_K50_BS1D.otu_table.biom')	0.0
315	('EP919343', 8, 'EP919343_K80_BS1D.otu_table.biom')	0.0
316	('EP925694', 7, 'EP925694_K70_BS1D.otu_table.biom')	0.0
317	('EP926005', 9, 'EP926005_K90_BS1D.otu_table.biom')	0.39
318	('EP929440', 6, 'EP929440_K60_BS1D.otu_table.biom')	0.0
319	('EP933492', 6, 'EP933492_K60_BS1D.otu_table.biom')	0.0
320	('EP934299', 9, 'EP934299_K90_BS1D.otu_table.biom')	0.0
321	('EP936464', 8, 'EP936464_K80_BS1D.otu_table.biom')	0.0
322	('EP944038', 6, 'EP944038_K60_BS1D.otu_table.biom')	0.0
323	('EP954767', 8, 'EP954767_K80_BS1D.otu_table.biom')	0.0
324	('EP958168', 8, 'EP958168_K80_BS1D.otu_table.biom')	0.0
325	('EP959101', 14, 'EP959101_K140_BS1D.otu_table.biom')	0.0
326	('EP970774', 7, 'EP970774_K70_BS1D.otu_table.biom')	0.0
327	('EP972460', 8, 'EP972460_K80_BS1D.otu_table.biom')	1.0
328	('EP974070', 13, 'EP974070_K130_BS1D.otu_table.biom')	1.0
329	('EP977267', 9, 'EP977267_K90_BS1D.otu_table.biom')	0.0
330	('EP980061', 5, 'EP980061_K50_BS1D.otu_table.biom')	0.0
331	('EP982160', 6, 'EP982160_K60_BS1D.otu_table.biom')	0.0
332	('EP982951', 9, 'EP982951_K90_BS1D.otu_table.biom')	1.0
333	('EP983084', 13, 'EP983084_K130_BS1D.otu_table.biom')	0.0
334	('EP988019', 11, 'EP988019_K110_BS1D.otu_table.biom')	0.0
335	('EP992349', 8, 'EP992349_K80_BS1D.otu_table.biom')	0.0
336	('EP994895', 8, 'EP994895_K80_BS1D.otu_table.biom')	0.0
337	('EP996091', 13, 'EP996091_K130_BS1D.otu_table.biom')	0.0
338	('EP996091', 14, 'EP996091_K140_BS1D.otu_table.biom')	0.42
339	('EP997385', 15, 'EP997385_K150_BS1D.otu_table.biom')	1.0
